"codice_1_livello","label_1_livello_it"
"00","Classificazione non necessaria"
"E1","Conformazione: eccellente; stato ingrassamento: molto scarso"
"E2","Conformazione: eccellente; stato ingrassamento: scarso"
"E3","Conformazione: eccellente; stato ingrassamento: medio"
"E4","Conformazione: eccellente; stato ingrassamento: abbondante"
"E5","Conformazione: eccellente; stato ingrassamento: molto abbondante"
"O1","Conformazione: abbastanza buona; stato ingrassamento: molto scarso"
"O2","Conformazione: abbastanza buona; stato ingrassamento: scarso"
"O3","Conformazione: abbastanza buona; stato ingrassamento: medio"
"O4","Conformazione: abbastanza buona; stato ingrassamento: abbondante"
"O5","Conformazione: abbastanza buona; stato ingrassamento: molto abbondante"
"P1","Conformazione: mediocre; stato ingrassamento: molto scarso"
"P2","Conformazione: mediocre; stato ingrassamento: scarso"
"P3","Conformazione: mediocre; stato ingrassamento: medio"
"P4","Conformazione: mediocre; stato ingrassamento: abbondante"
"P5","Conformazione: mediocre; stato ingrassamento: molto abbondante"
"R1","Conformazione: buona; stato ingrassamento: molto scarso"
"R2","Conformazione: buona; stato ingrassamento: scarso"
"R3","Conformazione: buona; stato ingrassamento: medio"
"R4","Conformazione: buona; stato ingrassamento: abbondante"
"R5","Conformazione: buona; stato ingrassamento: molto abbondante"
"S1","Conformazione: superiore; stato ingrassamento: molto scarso"
"S2","Conformazione: superiore; stato ingrassamento: scarso"
"S3","Conformazione: superiore; stato ingrassamento: medio"
"S4","Conformazione: superiore; stato ingrassamento: abbondante"
"S5","Conformazione: superiore; stato ingrassamento: molto abbondante"
"U1","Conformazione: ottima; stato ingrassamento: molto scarso"
"U2","Conformazione: ottima; stato ingrassamento: scarso"
"U3","Conformazione: ottima; stato ingrassamento: medio"
"U4","Conformazione: ottima; stato ingrassamento: abbondante"
"U5","Conformazione: ottima; stato ingrassamento: molto abbondante"
