"codice_1_livello","label_1_livello_it"
"A","Capo sentinella"
"B","Capo controllato"
"C","Acquistato da paesi UE con cedola"
"D","Depopolamento aree protette"
"E","Acquistato da paesi UE"
"F","Acquistato da fiera o mercato"
"G","Acquistato da centro genetico"
"I","Acquistato da stabulario"
"K","Acquistato da centro di raccolta"
"L","Acquistato da stalla di sosta"
"M","Trasferito da allevamento italiano"
"N","Nato in stalla"
"P","Rientro da pascolo"
"Q","Trasferito senza acquisto"
"R","Prima iscrizione"
"S","Rientro da paese estero"
"T","Acquistato da paesi terzi"
"V","Rientro fiera mancata vendita"
"W","Nato in stalla (parto gemellare)"
"Z","Sconosciuto"
