"codice_1_livello","label_1_livello_it"
"A","Venduto per autoconsumo"
"C","Cancellazione amministrativa"
"D","Morto/abbattuto/macellato in azienda"
"E","Venduto a un paese estero"
"F","Oggetto di furto/smarrimento"
"G","Uscito verso centro genetico"
"H","Oggetto di furto"
"I","Uscito verso stabulario"
"J","Uscita da pascolo a pascolo"
"K","Uscito verso centro di raccolta"
"L","Identificati singolarmente"
"M","Uscito verso macello"
"N","Non specificato"
"O","Escursione/competizione"
"P","Uscito verso pascolo"
"Q","Macellato per autoconsumo"
"R","Uscito verso circo"
"S","Uscito verso stalla di sosta"
"T","Trasferito senza vendita"
"U","Uscito verso una fiera"
"V","Trasferito ad allevamento italiano"
"W","Oggetto di smarrimento"
"X","Dettaglio uscita da completare"
