"codice_1_livello","label_1_livello_it","Unit_Symbol"
"1","Chilogrammo","kg"
"10","Centimetro cubo","cc"
"11","Percentuale","%"
"12","Ettogrammo","hg"
"13","Unità internazionale","UI"
"14","Decagrammo","dag"
"15","Centilitro","cl"
"17","Metro","m"
"18","Metro quadrato","m2"
"2","Litro","L"
"20","Metro cubo","m3"
"21","Millimetro","mm"
"22","Millimole/Litro","mmol/L"
"24","Grado Celsius","°C"
"25","Unità Formanti Colonia/Millilitro","UFC/ml"
"26","Milligrammo/Decilitro","mg/dl"
"27","Grammo/100 grammi","g/100 g"
"28","Cellule*1000/Millilitro","CCS*1000/ml"
"3","Ettaro","ha"
"30","Minuto","min"
"33","Kilowatt","kW"
"34","Milligrammo/Litro","mg/L"
"36","Microsiemens/Centimetro","µS/cm"
"37","Unità Formanti Colonia/100 millilitri","UFC/100ml"
"38","Millisecondo","ms"
"4","Centimetro","cm"
"40","Chilogrammo/Minuto","kg/min"
"41","Bar","bar"
"42","Millibar","mbar"
"43","Micrometro/Secondo","µm/s"
"44","Kilopascal","kPa"
"45","Battiti per minuto","bpm"
"49","Euro","€"
"50","Grado decimale","°"
"51","Milioni per paillette","milioni/paillette"
"7","Grammo","g"
"8","Milligrammo","mg"
"9","Millilitro","ml"
"0","Unità uno",
"5","Giorno",
"6","Mese",
